Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0
3,0,41,1,378,8,12,6,3,1,1,30,63.44,0
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,0
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,0
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,0
3,0,39,1,935,17,5,13,2,1,1,25,65.34,0
5,0,40,1,770,17,18,10,3,1,1,30,103.48,0
3,1,39,1,60,3,5,2,2,1,1,25,25.335,1
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,0
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0
4,0,36,1,2900,25,5,16,3,1,1,30,137.0,0
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1
12,1,38,1,2328,47,39,33,3,1,1,30,251.0,1
3,0,38,1,193,5,5,4,3,1,1,30,27.92,1
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,0
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,0
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,0
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0
0,0,37,0,258,2,2,2,2,1,2,25,20.7,0
8,0,36,0,3715,79,27,26,3,1,1,30,259.76,0
10,0,35,1,9055,118,139,41,3,1,1,30,922.92,0
4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0
4,0,36,0,4455,80,0,23,3,1,1,30,181.4,0
3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0
6,1,36,0,2178,51,3,15,3,1,2,30,101.16,0
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0
0,0,35,0,815,11,0,9,2,1,2,25,37.17,0
0,0,36,0,650,11,8,6,2,1,2,25,65.745,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
4,0,35,0,11405,151,6,45,3,1,1,30,486.24,0
5,0,35,0,6658,72,103,35,2,1,1,25,766.35,0
20,0,31,0,895,44,11,15,2,1,2,25,91.755,1
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1
0,0,32,0,2780,19,0,12,3,1,1,30,111.96,0
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1
0,0,34,0,1608,22,0,4,3,1,1,30,65.2,0
0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0
0,0,33,0,1605,41,33,18,3,1,2,30,197.84,0
3,0,34,0,2720,50,170,21,2,1,1,25,889.65,0
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0
8,0,25,0,640,22,5,5,2,1,2,25,52.29,0
7,0,23,0,1165,29,14,11,2,1,1,25,116.73,0
0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0
9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0
1,1,43,0,398,7,17,8,3,1,2,30,84.2,1
4,0,42,1,2473,60,12,37,2,1,1,25,167.985,0
12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0
8,0,42,1,13853,171,10,48,3,1,1,30,600.96,0
8,0,42,2,4595,85,12,29,3,1,1,30,235.2,0
7,0,42,1,5998,97,17,16,3,1,1,30,311.8,0
10,0,42,0,2318,56,18,21,3,1,2,30,166.96,0
4,0,41,2,6580,88,196,30,3,1,1,30,1050.72,0
1,0,41,0,955,16,10,15,2,1,2,25,88.695,0
3,0,42,0,790,16,23,12,3,1,2,30,124.24,0
1,0,41,0,80,2,10,4,2,1,2,25,48.69,1
9,0,41,2,6798,77,118,41,2,1,1,25,840.375,0
24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1
14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1
2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0
10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1
10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1
1,0,40,0,213,4,10,6,3,1,2,30,48.68,1
3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0
